Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
P1,RPI4 Cooler,Goldpin_2_2_54mm_90deg,14.590000,111.110000,0.000000,bottom
C1,100n,100nF_0603,-17.970000,107.220000,-90.000000,top
C2,10uF,10uF_10V_0603,-17.970000,109.740000,90.000000,top
C3,10uF,10uF_10V_0603,-15.050000,111.320000,0.000000,top
C4,10uF,10uF_10V_0603,-14.850000,105.510000,0.000000,top
Con1,Header_Socket_2x20pin,Header_Socket_Vertical_2x20x2_54mm,4.140000,121.910000,0.000000,top
Con2,2041119-1,2041119-1,4.410000,91.197500,180.000000,top
D1,KPG-1608SURKC-T,LED_KPG-1608SURKC-T,11.600000,111.640000,180.000000,top
R3,200R,200R_0603,8.910000,111.640000,180.000000,top
U1,LD39200,LD39200PU33R,-15.090000,108.460000,90.000000,top
